timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
72426776,32767,32767,32767,32767,32767,32767
72431829,32767,32767,32767,32767,-27,32767
72436768,32767,32767,32767,32767,32767,32767
72441822,32767,32767,32767,-25,-14,32767
72446729,32767,32767,32767,32767,32767,32767
72451809,32767,32767,32767,32767,32767,32767
72455801,32767,32767,32767,32767,-40,32767
72460762,32767,32767,32767,32767,32767,32767
72465814,32767,32767,32767,-15,-27,32767
72470724,32767,32767,32767,32767,32767,32767
72475815,32767,32767,32767,32767,-14,32767
72480719,32767,32767,32767,32767,32767,32767
72485865,32767,32767,32767,32767,32767,32767
72490724,32767,32767,32767,-8,-48,32767
72494805,32767,32767,32767,32767,32767,32767
72499735,32767,32767,32767,32767,-26,32767
72504792,32767,32767,32767,32767,32767,32767
72509723,32767,32767,32767,32767,-13,32767
72515001,32767,32767,32767,0,32767,32767
72519725,32767,32767,32767,32767,32767,32767
72524067,32767,32767,32767,32767,-43,32767
72527716,32767,32767,32767,32767,32767,32767
72531722,32767,32767,32767,32767,32767,32767
72535719,32767,32767,32767,32767,-46,32767
72539881,32767,32767,32767,3,32767,32767
72543805,32767,32767,32767,32767,-14,32767
72548887,32767,32767,32767,32767,32767,32767
72553743,32767,32767,32767,32767,32767,32767
72558713,32767,32767,32767,32767,-46,32767
72563802,32767,32767,32767,32767,32767,32767
72568723,32767,32767,32767,-29,-33,32767
72572799,32767,32767,32767,32767,32767,32767
72577722,32767,32767,32767,32767,32767,32767
72582809,32767,32767,32767,32767,-54,32767
72587736,32767,32767,32767,32767,32767,32767
72592791,32767,32767,32767,-19,-34,32767
72597716,32767,32767,32767,32767,32767,32767
72602801,32767,32767,32767,32767,-20,32767
72607722,32767,32767,32767,32767,32767,32767
72611826,32767,32767,32767,32767,32767,32767
72616722,32767,32767,32767,-7,-46,32767
