timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
61068279,3,-1,0,16,0,0,1,0,0,0,0,0,0,0
243454897,3,-1,0,16,0,0,1,0,0,0,0,0,0,0
247864073,3,-1,0,16,0,0,1,0,0,0,0,0,0,0
270415504,3,0,1,16,0,0,1,0,0,0,0,0,0,0
291878913,3,1,2,16,0,0,1,0,0,0,0,0,0,0
306938991,3,2,3,16,0,0,1,0,0,0,0,0,0,0
326309424,3,3,4,16,0,0,1,0,0,0,0,0,0,0
340330136,3,4,5,16,0,0,1,0,0,0,0,0,0,0
358902501,3,5,6,16,0,0,1,0,0,0,0,0,0,0
372360799,3,6,7,16,0,0,1,0,0,0,0,0,0,0
390340318,3,7,8,16,0,0,1,0,0,0,0,0,0,0
402947250,3,8,9,16,0,0,1,0,0,0,0,0,0,0
420072659,3,9,10,16,0,0,1,0,0,0,0,0,0,0
431605816,3,10,11,16,0,0,1,0,0,0,0,0,0,0
432788132,3,10,11,16,0,0,1,0,0,0,0,0,0,0
497312153,4,-1,0,16,0,0,1,0,0,0,0,0,0,0
