timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
72074802,5,0,141,133,94,75,127
72943475,5,0,141,134,99,41,74
73968423,5,0,141,134,100,42,60
75013402,5,0,142,134,100,57,78
75936405,5,0,142,134,98,54,77
76980876,5,0,142,134,93,54,126
77899411,5,0,142,133,97,53,124
78949199,5,0,153,144,100,53,88
79968432,5,0,162,154,99,54,86
81028417,5,0,162,155,96,57,179
81938293,5,0,162,155,97,49,140
82981847,5,0,157,148,96,53,157
83926411,5,0,152,144,98,52,74
84955415,5,0,146,135,93,52,70
85974285,5,0,135,127,98,53,92
86905411,5,0,120,112,100,51,140
87938419,5,0,128,115,97,50,94
88984414,5,0,136,127,100,51,168
89922385,5,0,139,129,100,50,76
90957449,5,0,137,130,97,58,144
91977419,5,0,131,125,99,51,123
92935426,5,0,138,128,99,48,68
93945410,5,0,142,130,100,53,69
94982420,5,0,143,132,97,77,63
95915417,5,0,144,132,97,52,63
96947123,5,0,144,132,96,67,154
97985434,5,0,137,131,100,52,59
98903413,5,0,133,123,97,56,63
99955384,5,0,133,123,95,56,69
100980875,5,0,134,123,97,52,68
101911991,5,0,134,123,100,48,69
102959465,5,0,134,123,96,41,68
103902201,5,0,132,123,100,55,66
104905836,5,0,128,119,100,54,70
105948415,5,0,122,114,100,50,66
106981016,5,0,121,112,98,52,59
107920896,5,0,124,116,100,53,63
108967482,5,0,111,108,96,56,63
109999407,5,0,111,107,96,54,68
110915231,5,0,112,107,96,55,58
111987423,6,0,103,102,100,55,83
113043907,8,0,94,102,94,54,83
113901430,8,0,91,156,98,52,97
114963689,8,0,104,119,95,56,62
115899209,8,0,108,112,100,53,136
116917722,8,0,110,105,98,52,160
117959474,8,0,111,105,100,57,177
118911412,8,0,111,103,100,50,142
119950296,8,0,118,104,100,52,157
123957482,8,0,128,114,97,52,130
124999406,8,0,114,111,100,57,116
125933217,8,0,116,106,100,61,121
126972455,8,0,122,116,97,55,120
128006416,8,0,122,115,97,56,133
128923419,8,0,115,109,100,53,130
129976402,8,0,115,106,100,59,138
130925430,8,0,116,106,93,60,101
131927402,8,0,118,110,100,59,158
132968492,8,0,126,115,100,65,126
134016855,8,0,130,121,97,49,104
134935378,8,0,130,121,96,54,61
135977423,8,0,129,120,96,52,142
136900846,8,0,128,120,100,54,127
137941415,8,0,121,116,95,55,131
138899393,8,0,120,110,100,52,105
139907008,8,0,116,100,98,49,103
140928453,8,0,112,103,100,53,139
141987410,8,0,115,105,99,52,69
142910410,8,0,121,112,100,56,59
143947415,8,0,122,114,95,53,107
144978484,8,0,121,113,99,53,74
145909481,8,0,121,112,100,55,80
146932408,8,0,124,115,100,57,71
147979402,8,0,111,104,97,54,93
148901411,8,0,107,98,96,55,69
149948402,9,0,106,100,92,54,63
150985042,9,0,113,104,100,55,63
151915506,9,0,119,110,100,53,121
152935965,9,0,120,112,97,52,71
153999402,9,0,120,110,97,53,69
154910405,9,0,119,110,97,52,111
155944422,9,0,119,110,100,55,58
156998426,9,0,107,99,97,52,108
157942407,9,0,114,105,100,57,145
158942048,9,0,113,105,98,57,66
159987408,9,0,99,97,100,54,111
160907411,9,0,92,96,100,52,69
161958231,10,0,91,91,100,53,98
163120918,11,0,89,85,97,54,144
163914914,11,0,97,90,93,51,61
164957383,11,0,102,97,100,54,58
