timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
72426776,0.9944862,-0.017521279,-0.025669752,-0.10015593,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
72480719,0.9944701,-0.017575862,-0.025660416,-0.10030866,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
72531722,0.9944656,-0.017498117,-0.025654612,-0.100368574,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
72582809,0.9944603,-0.017558146,-0.025681755,-0.10040447,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
72636962,0.99445957,-0.017432487,-0.025713747,-0.10042435,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
72690723,0.9944563,-0.017441388,-0.02573671,-0.10044927,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
72743722,0.99444944,-0.017455881,-0.025724547,-0.10051834,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
72792895,0.99443036,-0.017527169,-0.025682814,-0.100705,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
72844874,0.994411,-0.01754124,-0.025740443,-0.100879386,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
72894811,0.9944017,-0.01750814,-0.025703233,-0.10098535,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
72948864,0.9943968,-0.017456912,-0.025763795,-0.10102726,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73000847,0.9943922,-0.017459739,-0.025779668,-0.10106849,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73055736,0.9943813,-0.017440794,-0.025754027,-0.101185665,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73104791,0.9943775,-0.017423017,-0.025765026,-0.101223744,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73157801,0.99437577,-0.017368175,-0.025732068,-0.10125757,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73211730,0.9943731,-0.017352661,-0.025720691,-0.10128958,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73264824,0.9943638,-0.017292906,-0.025676677,-0.10140246,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73313792,0.99436295,-0.017223917,-0.025638133,-0.10143162,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73366943,0.9943602,-0.017187849,-0.02558561,-0.10147836,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73415796,0.9943575,-0.017133718,-0.025572464,-0.10151706,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73469725,0.99434793,-0.017105626,-0.025494864,-0.101634614,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73523801,0.99434185,-0.017098289,-0.02546158,-0.10170351,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73576735,0.9943357,-0.01703747,-0.025439536,-0.10177962,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73630806,0.9943296,-0.016985066,-0.025466595,-0.10184231,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73684722,0.99432707,-0.01700898,-0.025530532,-0.1018463,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73737722,0.99431825,-0.017049478,-0.025539516,-0.10192365,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73786720,0.99430996,-0.01708351,-0.025554657,-0.10199464,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73843794,0.9942985,-0.01717826,-0.025594102,-0.10208014,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73893724,0.9942949,-0.017157482,-0.025620395,-0.10211291,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
73947852,0.9942879,-0.017184084,-0.025582518,-0.10218613,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
