timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
72361971,1584727819400321,323878922,-1170745308,21660,-12781,0.20400001,0.24895968,0.82100004,1.194,0.63,0.89,79,48,0.044000003,-0.032,0.030000001,-0.031000001,6.2330213,0,nan,0.0,3,1,18
72562285,1584727819600321,323878922,-1170745308,21673,-12769,0.24400002,0.2489864,0.82100004,1.194,0.63,0.89,79,48,0.008,0.002,0.008,-0.004,6.2330213,0,nan,0.0,3,1,18
72764777,1584727819800321,323878923,-1170745308,21663,-12778,0.231,0.24901187,0.82100004,1.194,0.63,0.89,79,53,0.074,0.074,0.004,-0.020000001,6.2330213,0,nan,0.0,3,1,18
72969926,1584727820000321,323878923,-1170745308,21638,-12803,0.21200001,0.24903527,0.82000005,1.195,0.63,0.89,79,53,0.016,-0.013,0.009000001,-0.014,6.2330213,0,nan,0.0,3,1,18
73160233,1584727820200321,323878923,-1170745308,21625,-12816,0.223,0.2490597,0.82000005,1.195,0.63,0.89,79,53,0.035,0.016,0.031000001,-0.001,6.2330213,0,nan,0.0,3,1,18
73363822,1584727820400321,323878922,-1170745309,21589,-12852,0.25500003,0.24908781,0.82000005,1.1960001,0.59999996,0.85999995,79,53,0.063,-0.049000002,-0.040000003,0.044000003,6.2330213,0,nan,0.0,3,1,19
73565020,1584727820600321,323878922,-1170745310,21568,-12874,0.23400001,0.24911362,0.82000005,1.1960001,0.59999996,0.85999995,79,53,0.040000003,-0.015000001,-0.038000003,-0.033,6.2330213,0,nan,0.0,3,1,19
73770072,1584727820800321,323878921,-1170745311,21546,-12896,0.24200001,0.24914014,0.82000005,1.1960001,0.59999996,0.85999995,79,61,0.020000001,0.014,-0.014,-0.015000001,6.2330213,0,nan,0.0,3,1,19
73962971,1584727821000321,323878921,-1170745311,21514,-12927,0.26700002,0.24916948,0.82000005,1.1960001,0.59999996,0.85999995,79,61,0.05,-0.045,0.023000002,0.078,6.2330213,0,nan,0.0,3,1,19
74160233,1584727821200321,323878920,-1170745312,21483,-12958,0.21700001,0.24919339,0.82000005,1.197,0.59999996,0.85999995,79,61,0.065000005,-0.023000002,-0.061000004,-0.011000001,6.2330213,0,nan,0.0,3,1,19
74363813,1584727821400321,323878920,-1170745314,21476,-12965,0.25,0.24922097,0.82000005,1.197,0.59999996,0.85999995,79,61,0.062000003,0.024,-0.057000004,-0.07300001,6.2330213,0,nan,0.0,3,1,19
74565484,1584727821600321,323878920,-1170745315,21467,-12975,0.261,0.24924976,0.82000005,1.197,0.59999996,0.85999995,79,61,0.008,-0.006,-0.006,-0.09200001,6.2330213,0,nan,0.0,3,1,19
74762894,1584727821800321,323878920,-1170745316,21437,-13004,0.256,0.24927786,0.82000005,1.1980001,0.59999996,0.85999995,79,64,0.045,-0.029000001,-0.035,-0.13800001,6.2330213,0,nan,0.0,3,1,19
74962963,1584727822000320,323878920,-1170745317,21415,-13027,0.24300002,0.24930456,0.81900007,1.1980001,0.59999996,0.85999995,79,64,0.043,0.043,0.001,-0.022000002,6.2330213,0,nan,0.0,3,1,19
75163852,1584727822200320,323878920,-1170745317,21369,-13072,0.25800002,0.24933302,0.81900007,1.1980001,0.59999996,0.85999995,79,64,0.019000001,-0.006,0.018000001,-0.07300001,6.2330213,0,nan,0.0,3,1,19
75361912,1584727822400320,323878919,-1170745318,21335,-13106,0.21800001,0.24935693,0.81900007,1.197,0.59999996,0.85999995,79,64,0.011000001,-0.008,0.007,0.0050000004,6.2330213,0,nan,0.0,3,1,19
75568189,1584727822600320,323878917,-1170745320,21323,-13118,0.23300001,0.24938259,0.81900007,1.197,0.59999996,0.85999995,79,64,0.19100001,-0.091000006,-0.16800001,-0.091000006,6.2330213,0,nan,0.0,3,1,19
75762069,1584727822800320,323878915,-1170745323,21289,-13152,0.26200002,0.24941137,0.81900007,1.197,0.59999996,0.85999995,79,55,0.074,0.001,-0.074,-0.12900001,6.2330213,0,nan,0.0,3,1,19
75963944,1584727823000320,323878915,-1170745325,21238,-13203,0.263,0.2494402,0.81900007,1.197,0.59999996,0.85999995,79,55,0.019000001,0.018000001,0.0050000004,-0.019000001,6.2330213,0,nan,0.0,3,1,19
76766768,1584727823800320,323878914,-1170745319,21194,-13247,0.257,0.7559407,0.81900007,1.2,0.59999996,0.85999995,79,37,0.24400002,0.126,0.209,-0.29200003,0.055637605,0,nan,0.0,3,1,19
76963091,1584727824000320,323878918,-1170745314,21208,-13234,0.40800002,0.7559574,0.823,1.2080001,0.59999996,0.85999995,79,37,0.39800003,0.342,0.20300001,-0.231,0.055637605,0,nan,0.0,3,1,19
77166236,1584727824200320,323878922,-1170745307,21250,-13192,0.402,0.7444588,0.83100003,1.218,0.59999996,0.85999995,79,37,0.439,0.16000001,0.409,-0.20300001,0.63559514,0,nan,0.0,3,1,19
77371030,1584727824400320,323878927,-1170745296,21276,-13165,0.28300002,0.37181988,0.836,1.22,0.59999996,0.85999995,79,37,0.56,0.23200001,0.51000005,-0.19800001,1.0415214,0,nan,0.0,3,1,19
77569844,1584727824600320,323878931,-1170745284,21335,-13106,0.282,0.356912,0.837,1.2210001,0.59999996,0.85999995,79,37,0.59300005,0.15100001,0.573,-0.33900002,1.1826863,0,nan,0.0,3,1,19
77771114,1584727824800320,323878935,-1170745275,21436,-13005,0.287,0.46857378,0.83800006,1.223,0.59999996,0.85999995,80,59,0.47400004,0.39100003,0.26700002,-0.772,0.9680122,0,nan,0.0,3,1,19
77970878,1584727825000320,323878939,-1170745267,21663,-12779,0.277,0.57548255,0.837,1.223,0.59999996,0.85999995,80,59,0.34600002,0.149,0.312,-0.96800005,1.0306872,0,nan,0.0,3,1,19
78174173,1584727825200320,323878941,-1170745257,21887,-12554,0.272,0.31199592,0.837,1.2240001,0.59999996,0.85999995,80,59,0.66,0.12100001,0.648,-1.0660001,1.3058726,0,nan,0.0,3,1,19
78360059,1584727825400320,323878942,-1170745249,22120,-12321,0.28,0.31209695,0.837,1.2260001,0.59999996,0.85999995,80,59,0.143,0.041,0.13700001,-1.1400001,1.3058726,0,nan,0.0,3,1,19
