timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
72417884,0.23098281,0.081969194,0.3669339
72429151,0.23098281,0.0935523,0.3946933
72440433,0.23098281,0.08776074,0.37310264
72451880,0.2340072,0.09065652,0.38544017
72463152,0.22795843,0.08776074,0.38235575
72474474,0.23098281,0.08486497,0.38235575
72485901,0.23098281,0.09065652,0.3792714
72497192,0.23098281,0.08776074,0.37001827
72508467,0.22795843,0.09644807,0.39777765
72519782,0.2340072,0.08776074,0.37001827
72531169,0.2340072,0.09065652,0.38235575
72542429,0.23098281,0.08776074,0.3792714
72554134,0.2340072,0.08776074,0.37618703
72565484,0.23098281,0.09065652,0.38235575
72577432,0.23098281,0.09065652,0.38852453
72589331,0.2340072,0.081969194,0.36384955
72600831,0.23098281,0.09065652,0.3916089
72612166,0.2340072,0.08486497,0.36384955
72623449,0.23098281,0.0935523,0.3946933
72634847,0.23098281,0.09065652,0.37618703
72646104,0.23098281,0.09065652,0.38235575
72657429,0.23098281,0.08776074,0.38235575
72668847,0.23098281,0.08776074,0.37001827
72680118,0.23098281,0.0935523,0.3946933
72691434,0.23098281,0.08776074,0.36384955
72703314,0.23098281,0.09065652,0.3916089
72715222,0.2340072,0.08776074,0.38235575
72726494,0.23098281,0.08776074,0.38235575
72737825,0.23098281,0.08776074,0.37001827
72749197,0.23098281,0.09644807,0.39777765
72760458,0.2340072,0.08486497,0.3669339
72771805,0.2340072,0.08776074,0.38235575
72783123,0.23098281,0.08776074,0.3792714
72794433,0.23098281,0.09065652,0.38235575
72806274,0.23098281,0.09065652,0.38235575
72817890,0.23098281,0.08776074,0.38544017
72829211,0.23098281,0.08776074,0.38235575
72840509,0.2340072,0.08486497,0.38235575
72852115,0.22795843,0.09065652,0.3792714
72863437,0.23098281,0.08776074,0.3792714
72875067,0.23098281,0.09065652,0.38544017
72886356,0.2340072,0.08776074,0.37310264
72898266,0.23098281,0.08776074,0.37618703
72909782,0.23098281,0.09065652,0.3792714
72921791,0.2340072,0.09065652,0.38544017
72933068,0.2340072,0.08776074,0.38544017
72944334,0.2340072,0.08776074,0.38235575
