timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
71517317,,0.24017845,-0.31447953,0.17724046,0.17403877,0.0,0.0,1.0,0.3803902,0.1449395
72522824,,0.3041925,-0.3831437,0.1499432,0.14871112,0.0,0.0,1.0,-0.064247645,0.0917935
73522943,,0.20292401,-0.30960995,0.14820899,0.15297607,0.0,0.0,1.0,-0.1170956,0.09114299
74526764,,0.019214703,-0.33493015,0.14826234,0.16277534,0.0,0.0,1.0,-0.31270602,0.09117514
75530735,,-0.1266788,-0.30870226,0.15119104,0.17395191,0.0,0.0,1.0,-0.18561196,0.09118981
77544222,,-0.13593306,-0.3026626,0.15705173,0.18212013,0.0,0.0,1.0,-0.069620766,0.09092842
78552986,,-0.1514024,-0.29471052,0.16688974,0.18496102,0.0,0.0,1.0,0.098530516,0.09072424
79555999,,-0.068851635,-0.33394882,0.174182,0.19302544,0.0,0.0,1.0,0.28644177,0.09068999
80558885,,0.081025966,-0.2636612,0.17840488,0.20291322,0.0,0.0,1.0,0.19429639,0.090663075
81558978,,0.14173669,-0.18526581,0.18506037,0.20717789,0.0,0.0,1.0,0.115371324,0.0904771
82570974,,0.16798,-0.11335711,0.19449565,0.21346605,0.0,0.0,1.0,0.16073078,0.09029364
83582190,,0.14320289,-0.040848184,0.20639962,0.2224288,0.0,0.0,1.0,0.104772836,0.09039405
84582339,,0.07794182,0.064705364,0.21705787,0.23123436,0.0,0.0,1.0,0.28796142,0.090442486
85592153,,0.015327101,0.12662418,0.22801249,0.24216397,0.0,0.0,1.0,0.23621128,0.0902546
86599487,,-0.08703561,0.11446114,0.23712316,0.2539233,0.0,0.0,1.0,0.36678827,0.090670675
87605328,,-0.30140603,-0.06994135,0.23258628,0.2527486,0.0,0.0,1.0,0.183834,0.09158148
88608317,,-0.4845679,-0.2708252,0.22316626,0.23883095,0.0,0.0,1.0,0.13912442,0.09180158
89617794,,-0.5579464,-0.371389,0.21203226,0.21498363,0.0,0.0,1.0,0.035346318,0.0912626
90627363,,-0.5900713,-0.45418662,0.22099458,0.2062552,0.0,0.0,1.0,-0.024024285,0.09119943
91635943,,-0.6148657,-0.5513329,0.23190635,0.20158882,0.0,0.0,1.0,0.0735533,0.090836205
92645763,,-0.59778476,-0.6534051,0.243388,0.20595497,0.0,0.0,1.0,0.104443766,0.090639204
93648240,,-0.56868345,-0.6685212,0.24856524,0.21489161,0.0,0.0,1.0,0.026658077,0.09070542
94657760,,-0.5542621,-0.66746026,0.2527817,0.22575088,0.0,0.0,1.0,-0.01963543,0.09041425
95663484,,-0.4517461,-0.57845414,0.2478495,0.22392863,0.0,0.0,1.0,0.09768063,0.09126312
96674942,,-0.4735975,-0.5988685,0.24785164,0.22474894,0.0,0.0,1.0,-0.031567022,0.090550266
97683438,,-0.5188363,-0.6277337,0.25013193,0.23301171,0.0,0.0,1.0,-0.05682256,0.09039824
98684396,,-0.52733326,-0.63730806,0.25864047,0.24203308,0.0,0.0,1.0,0.06284935,0.090187244
99697196,,-0.5444794,-0.66193134,0.26582775,0.24670646,0.0,0.0,1.0,-0.003201038,0.09078731
